Date,Price,Open,High,Low,Vol.,Change %
4/13/2025,"83,704.00","85,259.00","85,911.00","83,441.00",0.26K,-1.82%
4/12/2025,"85,259.00","83,372.00","85,832.00","82,762.00",0.19K,2.26%
4/11/2025,"83,372.00","79,519.00","84,232.00","78,915.00",0.43K,4.80%
4/10/2025,"79,553.00","82,542.00","82,699.00","78,499.00",0.81K,-3.62%
4/9/2025,"82,542.00","76,332.00","83,582.00","74,636.00",1.88K,8.14%
4/8/2025,"76,332.00","79,161.00","80,901.00","76,260.00",0.76K,-3.60%
4/7/2025,"79,181.00","78,441.00","81,100.00","74,508.00",2.30K,0.94%
4/6/2025,"78,441.00","83,598.00","83,807.00","77,178.00",1.33K,-6.17%
4/5/2025,"83,598.00","83,841.00","84,219.00","82,425.00",0.50K,-0.29%
4/4/2025,"83,841.00","83,191.00","84,695.00","81,634.00",0.75K,0.78%
4/3/2025,"83,191.00","82,517.00","83,890.00","81,316.00",0.70K,0.85%
4/2/2025,"82,493.00","85,197.00","88,461.00","82,335.00",0.64K,-3.17%
4/1/2025,"85,197.00","82,673.00","85,535.00","82,571.00",0.47K,3.05%
3/31/2025,"82,673.00","82,552.00","83,989.00","81,442.00",0.77K,0.15%
3/30/2025,"82,553.00","82,866.00","83,697.00","81,754.00",0.77K,-0.37%
3/29/2025,"82,861.00","84,573.00","84,779.00","81,861.00",0.54K,-2.02%
3/28/2025,"84,573.00","87,317.00","87,578.00","83,773.00",1.23K,-3.14%
3/27/2025,"87,317.00","87,094.00","87,934.00","85,919.00",0.20K,0.26%
3/26/2025,"87,089.00","87,611.00","88,400.00","86,057.00",0.80K,-0.63%
3/25/2025,"87,641.00","87,603.00","88,651.00","86,453.00",0.55K,0.03%
3/24/2025,"87,614.00","86,267.00","88,860.00","85,714.00",0.34K,1.58%
3/23/2025,"86,251.00","83,919.00","86,288.00","83,919.00",0.18K,2.78%
3/22/2025,"83,919.00","84,144.00","84,594.00","83,791.00",0.09K,-0.27%
3/21/2025,"84,144.00","84,296.00","84,932.00","83,311.00",0.31K,-0.18%
3/20/2025,"84,296.00","87,048.00","87,621.00","83,783.00",0.41K,-3.14%
3/19/2025,"87,029.00","82,933.00","87,182.00","82,774.00",0.67K,4.93%
3/18/2025,"82,942.00","84,240.00","84,240.00","81,366.00",1.24K,-1.54%
3/17/2025,"84,240.00","82,759.00","84,905.00","82,746.00",0.59K,1.79%
3/16/2025,"82,759.00","84,536.00","85,179.00","82,191.00",0.33K,-2.10%
3/15/2025,"84,536.00","84,207.00","84,911.00","83,832.00",0.34K,0.39%
3/14/2025,"84,207.00","81,289.00","85,473.00","81,024.00",1.16K,3.59%
3/13/2025,"81,289.00","83,856.00","84,490.00","80,101.00",0.44K,-3.06%
